post_id,sentence,true_label,logits
1179055004553900032_twitter,i dont think im getting my baby them white <number> he has two white j and nikes not even touched,normal,[-0.8568341   1.3360803   0.33727086]
13851720_gab,laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,hatespeech,[ 0.918571   -0.8137087  -0.26662508]
1178818409812746240_twitter,<user> what did the old lady do was she a nazi or white supremacist,normal,[-1.0666736  1.4598161  0.5577979]
19346774_gab,as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on,normal,[ 0.56485575 -0.4286028  -0.22870925]
1165819983701643266_twitter,sex be so good a bitch be slow stroking and crying,offensive,[-0.8700392  0.5891504  1.2604038]
1178376939117121537_twitter,<user> <user> <user> with a room full of white folks,normal,[-1.5841922  2.2711544  0.6022717]
1162817415685857280_twitter,i do not blame orlando pie rats for loosing like this they are drunk from that black label 😂 😂 😂 mtn <number> ss diski wafa wafa,normal,[-0.05069622  0.27394933  0.26062596]
16637220_gab,they are going to figure out a way to kike bitcoin,hatespeech,[ 1.5943692  -1.542563   -0.35564712]
1178082052513468417_twitter,<user> <user> a camel jockey midde east watering station,normal,[-0.39648393  0.5951977   0.48992863]
1116946053478125571_twitter,then hoes stole my choreo and still managed to make it look bad and lose with it lmfao,offensive,[-0.7610063   0.80529636  0.82189226]
18721090_gab,the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number> million white kids raped by paki muslims all labour voters covered up by labour councils mps and a pm,hatespeech,[-0.1942342   0.36385298  0.29783934]
1178816603619758080_twitter,i raped a sheep because it sneezed at a pig,normal,[-0.72464424  0.8559924   0.5663111 ]
1179096960537632768_twitter,listening to <number> right now and man these callers are morons in hillbilly voice what if we switched aj hinch with bill o brien would the texans do well good lord,normal,[-0.339994    0.46172535  0.4455677 ]
1178501413346906113_twitter,also in this same vibe any wigger who calls white missionaries who save the lives of non white children in africa india ect a race traitor is an actual h0m0,offensive,[-0.42492333  0.63998705  0.40389213]
22358188_gab,do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker,hatespeech,[ 0.73552126 -0.66751826 -0.02461038]
1125244030948921344_twitter,cheating is not the wave grow up you dumbass nigga,normal,[-0.79621357  0.9302222   0.6511108 ]
1178765634265636864_twitter,do u have to be retarded to be a lino,normal,[-0.32541013 -0.0028286   1.3298811 ]
1179043438131417088_twitter,<user> <user> why will muslim take refugee in india when bangladesh and pakistan r islamic states isnt india supposed to be unsafe for muslims they should leave for their country asap for their safety,normal,[-1.0876443   1.5544908   0.53824896]
1179080956004769795_twitter,<user> <user> <user> <user> <user> <user> yeah just the backwoods redneck portion of society in oklahoma that does not even know other sports exist,normal,[-1.5723336  2.2337933  0.7109172]
19227442_gab,i d rather get fisted by a nigger tbh,offensive,[ 1.2576524 -1.187288  -0.2694519]
13162665_gab,i hope the niglets keep going down on their knees its the only realistic depiction of blacks on fake news tv any chance of getting t shirts made that say <user> boycott nfl tebow rule cant pray owners are pleased with their blacks down on their knees,offensive,[-0.2881342   0.42053348  0.45885643]
24227903_gab,what the hell is it with shitty gab trolls and calling people monkeys maybe that kike freud was right,offensive,[ 1.4022343 -1.3272015 -0.3341315]
1178618820229025793_twitter,<user> <user> <user> yes men commit male violence i actually wouldnt envy a lesbian being confonted with a penis for a number of reasons the fear of being raped or being beaten for turning down the trans woman being just one,normal,[-1.3515346   2.1476412   0.40006146]
12290514_gab,france problems are not going to fix themselves and this attack was just the tip of the iceberg uncontrolled immigration has been an ongoing issue in france for over a decade the only longstanding solution would be to deport every last moslem back to their home countries mega,offensive,[ 0.5979719  -0.49650067 -0.02375494]
22513839_gab,dad should have told the muzrat whore to fuck off and went in anyway,hatespeech,[ 0.49178267 -0.57640034  0.39260307]
4701852_gab,fanbloodytastic by time these leeches are held to account especially the muzzie scum taking <number> wives breeding kids like rabbits in order to increase welfare payments potus ur simply the best 👍 👏 👏 👏 👏,hatespeech,[ 0.70351017 -0.6285504  -0.05551922]
15239458_gab,whitey prevails for a change miss south africa beats out a nig two spics and a gook to win miss u,hatespeech,[ 0.3440156  -0.16515012  0.09089717]
1178904771538890752_twitter,<user> <user> welcome to modern britain the country where freedom of speech being white heterosexual male female non muslim is now classed as being racist fascist homophobic islamophobic made up word the country is falling,normal,[-0.9128284   1.2281872   0.56224906]
26046364_gab,meet the british nigger bitch princess criminal trash family 🤣,hatespeech,[ 0.8488217  -0.9321546   0.07126961]
24096893_gab,lets hope so gas the lot including the nigger,hatespeech,[ 0.52858454 -0.36287397 -0.253029  ]
1178949635647229952_twitter,<user> <user> <user> lol no one is supporting bhikharistan except pro muslim countries like turkey malaysia no one gives a fuck about porkistan,normal,[-1.395307    2.0639014   0.56524074]
1105655062599208960_twitter,suck out you faggot,offensive,[ 0.48544395 -0.7468008   0.75421554]
1178322843022450688_twitter,<user> bring out the uneducated hillbillies and white supremacists to our sign meeting and donate to our right wing cause duh i work oil duh i like truck duh me hate muslim duh i can not read,normal,[-0.46487284  0.69629353  0.4785423 ]
21969771_gab,he a jew when it convenient for him and a fellow white person when thats more convenient just like literally every other kike,hatespeech,[ 1.3163695 -1.2534344 -0.3029206]
1160816648783159296_twitter,color blue and white porcelain,normal,[-0.6486047   1.1337304   0.13061905]
1179094087212978177_twitter,<user> <user> <user> only a person with considerable privilege could reasonably write in a candidate out of pettiness when the alternative is trump trust and believe that my queer ass does not have that luxury women poc immigrants etc do not have that luxury grow up,normal,[-1.2984945   1.880427    0.56113225]
1179086920573341696_twitter,amber guyer ass better get the maximum sentence but ik her white ass bout to skate i can feel it in my spirit 😒,normal,[-0.5446922   0.9352      0.20874871]
1179041169382264832_twitter,<user> <user> <user> millions of yemeni children starve because of trump policies republicans i sleep a woman gets raped and does not want to carry his baby republicans real shit,normal,[-1.1424191   1.7670376   0.45404804]
1178708115035955201_twitter,smh fuckin wit them white girls gon get u in jail bruh,normal,[-0.0894182   0.17031801  0.36656952]
6152693_gab,western women use vagina stereo speaker to blast unborn babies with feminist female empowerment musics of negress beyonce hag madonna breasticular katy perries slav expecting mothers enjoy cerebral classical music of tchaikovsky dvorák mussorgsky stravinsky free of vaginal intrusion,normal,[-0.117707    0.280086    0.35662526]
16705606_gab,in fact i can not find anything fuzzy or warm about my dutch ness we are a pretty dour people always having to stick our fingers in dykes while wearing wooden shoes does that to you,normal,[-0.6376701   0.9952256   0.32789838]
1179025510350897152_twitter,<user> oh yeah that too before twitter and before <number> months ago i only knew one lesbian couple that it all my friends were cishet white suburban guys,normal,[-1.065585    1.5526832   0.46841228]
1178757718791905280_twitter,<user> same with arabs loll im arab but white af,normal,[-1.0547731   1.2149969   0.76625973]
19112164_gab,fuck her she nothing but a kike that will play which ever side that will get her paid,hatespeech,[ 1.2958732 -1.2005651 -0.2618111]
1177974580964708353_twitter,crash on eb i <number> location eb i <number> at van dyke lanes blocked left shoulder left lane event type crash county macomb,normal,[-0.48925433  0.7080904   0.39990294]
1179088988445007875_twitter,<user> <user> racist scum who is also a threat to innocent citizens are embraced by deblasio horrible my prayers to this woman white black green yellow people should not go unchecked with this random violence hate,normal,[-0.94143885  1.3720055   0.47217965]
13912847_gab,i am a nigger rabbi who sells bacon,hatespeech,[ 1.0174019  -0.93997127 -0.3296796 ]
1179096587571646464_twitter,tomorrow precap lit sidharth shukla wow yaar i think he will kill all the task in season bb13 bigg boss <number>,normal,[-0.4925975   0.9250051   0.18558235]
